nom_estab,nombre_act,telefono,latitud,longitud,codigo_act,municipio
CLINICA CENTRO MEXICANO EN ESTOMATOLOGIA,Escuelas de educación superior del sector privado,2222434810,19.03028157,-98.21045871,611311,Puebla
AGROMEDICA VETERINARIA LA HERRADURA,Clínicas de consultorios médicos del sector privado,7641114494,20.26509384,-97.87694707,621115,Zihuateutla
ALBERGUE DEL HOSPITAL PARA EL NIÑO POBLANO,Orfanatos y otras residencias de asistencia social del sector privado,5540660663,19.03375582,-98.24654998,623991,San Andrés Cholula
AREA DE ENFERMERIA Y ATENCION DE PRIMEROS AUXILIOS Y FOMENTO SANITARIO,Hospitales generales del sector público,2444453527,18.90741239,-98.43529984,622112,Atlixco
CARDILOGIA CLINICA,Consultorios de medicina especializada del sector privado,2229074499,19.02213529,-98.23463108,621113,Puebla
CARDIOLOGIA CLINICA,Consultorios de medicina especializada del sector privado,2222087191,19.02213529,-98.23463108,621113,Puebla
CASA DE SALUD,Clínicas de consultorios médicos del sector público,2481410171,19.27932166,-98.42910287,621116,San Martín Texmelucan
CASA DE SALUD,Clínicas de consultorios médicos del sector público,2227764796,19.12211917,-98.22280487,621116,Puebla
CASA DE SALUD,Hospitales psiquiátricos y para el tratamiento por adicción del sector privado,2222483342,19.05641704,-98.23368182,622211,Puebla
CASA DE SALUD,Clínicas de consultorios médicos del sector público,2492093357,18.9555979,-97.80882535,621116,Los Reyes de Juárez
CASA DE SALUD,Clínicas de consultorios médicos del sector público,2216580069,18.98085668,-98.26834922,621116,Puebla
CASA DE SALUD DE MAZAPILTEPEC DE JUAREZ,Clínicas de consultorios médicos del sector público,7224337005,19.12320653,-97.69748626,621116,Mazapiltepec de Juárez
CASA DE SALUD DE SAN MATEO PARRA,Hospitales generales del sector público,2231448644,18.98970996,-97.86324679,622112,Tepeaca
CASA DE SALUD FELIPE CARRILLO PUERTO,Clínicas de consultorios médicos del sector público,2481708868,19.27406814,-98.42976552,621116,San Martín Texmelucan
CASA DE SALUD SAN MATIAS ATZALA,Hospitales generales del sector público,2482254518,19.25290428,-98.4815471,622112,San Felipe Teotlalcingo
CASA DE SALUD SIN NOMBRE,Clínicas de consultorios médicos del sector público,2331077772,19.85922282,-97.49735826,621116,Tlatlauquitepec
CENTRAL DE MEDICOS SAN GABRIEL SA DE CV,Hospitales generales del sector privado,2222470014,19.06516892,-98.30999403,622111,San Pedro Cholula
CENTRO DE ATENCION MEDICA INTEGRAL CAMI,Clínicas de consultorios médicos del sector privado,2224554950,18.98531989,-98.22953705,621115,Puebla
CENTRO DE CIRUGIA AMBULATORIA Y CORTA ESTANCIA DE TEZIUTLAN,Otros centros del sector privado para la atención de pacientes que no requieren hospitalización,9671143822,19.82876106,-97.35929673,621491,Teziutlán
CENTRO DE ESPECIALIDADES MEDICAS,Clínicas de consultorios médicos del sector privado,2484889844,19.27885081,-98.43591936,621115,San Martín Texmelucan
CENTRO DE MATERNIDAD,Hospitales del sector privado de otras especialidades médicas,2222358554,19.05023905,-98.15563842,622311,Puebla
CENTRO DE SALUD,Clínicas de consultorios médicos del sector público,7468810945,20.50551267,-97.66717705,621116,Venustiano Carranza
CENTRO DE SALUD ATEMPAN,Clínicas de consultorios médicos del sector público,2313111472,19.83936184,-97.46080815,621116,Atempan
CENTRO DE SALUD BASICO 1 SAN NICOLAS TOLENTINO,Clínicas de consultorios médicos del sector público,2431014306,18.55152718,-98.50317842,621116,Izúcar de Matamoros
CENTRO DE SALUD CHILCHOTLA,Clínicas de consultorios médicos del sector público,2828286004,19.25297944,-97.18207901,621116,Chilchotla
CENTRO DE SALUD CON UN NUCLEO BASICO,Clínicas de consultorios médicos del sector público,5567716417,20.06079752,-97.85004858,621116,Ahuacatlán
CENTRO DE SALUD COYOMEAPAN,Clínicas de consultorios médicos del sector público,9512629417,18.28358977,-96.99173539,621116,Coyomeapan
CENTRO DE SALUD DE HUEJOZTINGO,Clínicas de consultorios médicos del sector público,2213556126,19.15876335,-98.40887584,621116,Huejotzingo
CENTRO DE SALUD DE SAN BALTAZAR TEMAXCALAC,Clínicas de consultorios médicos del sector público,2482919419,19.26887033,-98.41209589,621116,San Martín Texmelucan
CENTRO DE SALUD DE SAN JOSE IXTAPA,Clínicas de consultorios médicos del sector público,2211168125,18.72563369,-97.45900656,621116,Cañada Morelos
CENTRO DE SALUD DE SAN JUAN TETLA,Clínicas de consultorios médicos del sector público,2481123339,19.20874694,-98.50461951,621116,Chiautzingo
